id,value
대한민국,
대한민국.강원도,
대한민국.경기도.기흥구.여자(내),217157
대한민국.경기도.기흥구.남자(외),3372
대한민국.경기도.기흥구.여자(외),3578
대한민국.경기도.권선구,
대한민국.경기도.권선구.남자(내),178643
대한민국.경기도.권선구.여자(내),175363
대한민국.경기도.권선구.남자(외),7536
대한민국.경기도.권선구.여자(외),7382
대한민국.경기도.군포시,
대한민국.경기도.군포시.남자(내),129035
대한민국.경기도.군포시.여자(내),131518
대한민국.경기도.군포시.남자(외),4943
대한민국.경기도.군포시.여자(외),4947
대한민국.경기도.구리시,
대한민국.경기도.구리시.남자(내),91939
대한민국.경기도.구리시.여자(내),93845
대한민국.경기도.구리시.남자(외),947
대한민국.경기도.구리시.여자(외),1067
대한민국.경기도.광주시,
대한민국.경기도.광주시.남자(내),188941
대한민국.경기도.광주시.여자(내),182678
대한민국.경기도.광주시.남자(외),10346
대한민국.경기도.광주시.여자(외),5735
대한민국.경기도.광명시,
대한민국.경기도.광명시.남자(내),139817
대한민국.경기도.광명시.여자(내),144035
대한민국.경기도.광명시.남자(외),3126
대한민국.경기도.광명시.여자(외),3367
대한민국.경기도.과천시,
대한민국.경기도.과천시.남자(내),32286
대한민국.경기도.과천시.여자(내),33211
대한민국.경기도.과천시.남자(외),197
대한민국.경기도.과천시.여자(외),186
대한민국.경기도.고양시,
대한민국.경기도.고양시.남자(내),504082
대한민국.경기도.고양시.여자(내),527811
대한민국.경기도.고양시.남자(외),8613
대한민국.경기도.고양시.여자(외),9007
대한민국.경기도.가평군,
대한민국.경기도.가평군.남자(내),29949
대한민국.경기도.가평군.여자(내),28300
대한민국.경기도.가평군.남자(외),626
대한민국.경기도.가평군.여자(외),839
대한민국.경상남도,
대한민국.경상남도.합천군,
대한민국.경상남도.합천군.남자(내),19244
대한민국.경상남도.합천군.여자(내),20630
대한민국.경상남도.합천군.남자(외),417
대한민국.경상남도.합천군.여자(외),351
대한민국.경상남도.함양군,
대한민국.경상남도.함양군.남자(내),17442
대한민국.경상남도.함양군.여자(내),18564
대한민국.경상남도.함양군.남자(외),262
대한민국.경상남도.함양군.여자(외),273
대한민국.경상남도.함안군,
대한민국.경상남도.함안군.남자(내),30008
대한민국.경상남도.함안군.여자(내),29245
대한민국.경상남도.함안군.남자(외),3138
대한민국.경상남도.함안군.여자(외),842
대한민국.경상남도.하동군,
대한민국.경상남도.하동군.남자(내),19597
대한민국.경상남도.하동군.여자(내),19936
대한민국.경상남도.하동군.남자(외),251
대한민국.경상남도.하동군.여자(외),383
대한민국.경상남도.통영시,
대한민국.경상남도.통영시.남자(내),60346
대한민국.경상남도.통영시.여자(내),59672
대한민국.경상남도.통영시.남자(외),3879
대한민국.경상남도.통영시.여자(외),932
대한민국.경상남도.창원시,
대한민국.경상남도.창원시.남자(내),510117
대한민국.경상남도.창원시.여자(내),497045
대한민국.경상남도.창원시.남자(외),10899
대한민국.경상남도.창원시.여자(외),7641
대한민국.경상남도.창녕군,
대한민국.경상남도.창녕군.남자(내),27938
대한민국.경상남도.창녕군.여자(내),28508
대한민국.경상남도.창녕군.남자(외),2118
대한민국.경상남도.창녕군.여자(외),1100
대한민국.경상남도.진해구,
대한민국.경상남도.진해구.남자(내),96461
대한민국.경상남도.진해구.여자(내),91549
대한민국.경상남도.진해구.남자(외),2626
대한민국.경상남도.진해구.여자(외),1729
대한민국.경상남도.진주시,
대한민국.경상남도.진주시.남자(내),172422
대한민국.경상남도.진주시.여자(내),174784
대한민국.경상남도.진주시.남자(외),3475
대한민국.경상남도.진주시.여자(외),2708
대한민국.경상남도.의창구,
대한민국.경상남도.의창구.남자(내),108105
대한민국.경상남도.의창구.여자(내),104760
대한민국.경상남도.의창구.남자(외),2272
대한민국.경상남도.의창구.여자(외),1778
대한민국.경상남도.의령군,
대한민국.경상남도.의령군.남자(내),11921
